pdu_hex,sequence_count,stored_flag,packet_seconds,met_seconds,battery1_temp_raw,solar_panel1_temp_raw,battery_soc_raw,t_seconds,direwolf,gr_satellites,reference_union
86829cac82a6609882a6a04040e103f00820e9ca00f132111f8a032502000200000000000000000100010000000ca9caa9c9019300000007018c0104020305010000760800000000000000000003bc1800000000000000000900a9a60200001300000843083b07ce06ff0773011e4128007d4be000452ed800380cd800316088007e4bd000e940f800e82ea000f100f701bc0060000007d806c807b80101200000000000000000800f0b0b3c0021498000000ce0033001980d0812b807001b4803c802102e9000c809c800000000000000081d1636918c3d9e1ed364044fc3be286c9fe4fffff60dffff9592ffffe6c8fc1ac7e4fe0d0455ff1026fffdef0107001108562ef0c21b,10698,0,839982986,829898,2115,1791,96,135,false,false,false
86829cac82a6609882a6a04040e103f00820e9cf00f132111f8f032502000200000000000000000100010000000ca9cfa9ce019300000007018c0104020305010000760800000000000000000003bc2100000000000000000900a9ab0200001300000844083c07cf070c078301274128007e4be0005a2ec800360cd800306350004f684800504120000a2f0800f400fa0241005d000007d806c807b80101200000000000000000800f0b0b3c0021498000000cd0033001980d0812b807001b4803c802102e9000c809c800000000000000081d16369198389e1c1c61044c31c728665da200004cc3fffff15b00000961fc11c7ddfdf60455ff1026fffdef01070011084d83e34b90,10703,0,839982991,829903,2116,1804,93,140,false,false,false
86829cac82a6609882a6a04040e103f00820e9d900f132111f99032502000200000000000000000100010000000ca9d9a9d8019300000007018c0104020305010000760800000000000000000003bc2a00000000000000000900a9b50200001300000843083b07ce070e078101124128007e4be0003b2ef000380cd8002c63100048683800424128000a2f0800fa00ff01bc005e000007d806c807b80101200000000000000000800f0b0b3c0021498000000cd0032001980d0812b807001b4803c802102e9000c809c800000000000000081d1636924f9f9e178d7704482599285ac689ffffe07affffb579ffffce4efc18c806fe160449ff102700fdf7010700110841e1a5b631,10713,0,839983001,829913,2115,1806,94,150,false,false,false
86829cac82a6609882a6a04040e103f00820e9de00f132111f9e032502000200000000000000000100010000000ca9dea9dd019300000007018c0104020305010000760800000000000000000003bc2b00000000000000000900a9ba0200001300000844083b07cf071d079201174128007e4be000462ed800360cd8002d62a0004b67a0004b4128000a2f0800fd01030226005e00006a9064486a000101200000000000000000800f0b0b3c0021498000000cc0031001980d0812b807001b4803c802102e9000c809c800000000000000081d16369644c99e17bb740442b08b28566f7300003cd7ffffcb5600002c7dfc18c801fe1b0448ff112700fdf701070011084155b9247b,10718,0,839983006,829918,2116,1821,94,155,false,false,false
86829cac82a6609882a6a04040e103f00820e9e300f132111fa3032502000200000000000000000100010000000ca9e3a9e2019300000007018c0104020305010000760c00000000000000000003bc3500000000000000000900a9bf0200001300000843083b07ce07200796010c4128004d66d000462ed800360cd800326228005466e8004a4128000a2f08010001050215005e00006a9064486a000101200000000000000000800f0b0b3c0021498000000cc0031001980d0812b807001b4803c802102e9000c809c800000000000000081d16369340629e1482e60440abaf2852e97effff92f1ffff95feffffff76fc13c7bbfe250448ff112700fdf7010700110841ff327ec0,10723,0,839983011,829923,2115,1824,94,160,true,false,true
86829cac82a6609882a6a04040e103f00820e9e800f132111fa8032502000200000000000000000100010000000ca9e8a9e7019300000007018c0104020305010000760f00000000000000000003bc4200000000000000000900a9c40200001300000843083b07ce07210796010c4130007462d000482ed000380cd8002862700046673000574128000a2f080104010701d7005e00006a9064486a000101200000000000000000800f0b0b3c0021498000000cb0030001980d0812b807001b4803c802102e9000c809c800000000000000081d1636917f619e1203b0043f5725284f5c9500000eb5ffffacaa000013affc17c7d8fe080454ff1126fffdf00107001108388619f441,10728,0,839983016,829928,2115,1825,94,165,false,false,false
86829cac82a6609882a6a04040e103f00820e9ed00f132111fad032502000200000000000000000100010000000ca9eda9ec019300000007018c0104020305010000760f00000000000000000003bc4a00000000000000000900a9c90200001300000843083b07ce0729079f010f4130007e4be800472ed800360cd8002b621800476738004a4128000a2f0801060109020c005e00006a9064486a000101200000000000000000800f0b0b3c0021498000000cb0030001980d0812b807001b4803c802102e9000c809c800000000000000081d163691e2249e112842043d3d09284cfa5f00001488ffffb73700000ea8fc14c7b9fe1d0454ff1126fffdf001070011083de2b07f41,10733,0,839983021,829933,2115,1833,94,170,false,false,false
86829cac82a6609882a6a04040e103f00820e9f200f132111fb2032502000200000000000000000100010000000ca9f2a9f1019300000007018c0104020305010000760f00000000000000000003bc4b00000000000000000900a9ce0200001300000843083b07ce073207a7010a4130007e4be8003f2ee800360cd8002a61c80043671000444130000a2f08010b010d0210005e00006a9064486a000101200000000000000000800f0b0b3c0021498000000cb002f001980d0812b807001b4803c802102e9000c809c800000000000000081d16369025539e0ebf3a043eebef28494b9fffffc4d5fffffcc7ffffeeb4fc13c7a6fe210442ff182700fdf70107001108382dea48f1,10738,0,839983026,829938,2115,1842,94,175,false,false,false
86829cac82a6609882a6a04040e103f00820e9f700f132111fb7032502000200000000000000000100010000000ca9f7a9f6019300000007018c0104020305010000760f00000000000000000003bc5400000000000000000900a9d30200001300000843083b07ce073607aa01144130007e4be8005b2ec800380cd8002b6188004866a800524128000a2f08010d010f020e005e00006a9064486a000101200000000000000000800f0b0b3c0021498000000ca002f001980d0812b807001b4803c802102e9000c809c800000000000000081d16369295979e0fb69f043a9a7a2848cbc4ffffb2ff00005493ffffe4f8fc0ec7d7fe3d0447ff112700fdf701070011083483aba2c3,10743,0,839983031,829943,2115,1846,94,180,false,false,false
86829cac82a6609882a6a04040e103f00820e9fc00f132111fbc032502000200000000000000000100010000000ca9fca9fb019300000007018c0104020305010000760f00000000000000000003bc5500000000000000000900a9d80200001300000843083b07ce073a07ad01064130007e4bf000432ed800360cd800296170004366a800494130000a2f08010f01110205005e00006a9064486a000101200000000000000000800f0b0b3c0021498000000ca002f001980d0812b807001b4803c802102e9000c809c800000000000000081d163690b18f9e0da133043bd0ad284629ddfffff174ffffe38000001a66fc13c7d2fe3e0453ff1126fffdf001070011083088e73261,10748,0,839983036,829948,2115,1850,94,185,false,false,false
86829cac82a6609882a6a04040e103f00820ea0100f132111fc1032502000200000000000000000100010000000caa01aa00019300000007018c0104020305010000761000000000000000000003bc6000000000000000000900a9dd0200001300000843083b07ce073e07b201054130007e4bf000452ee800380cd8002861500041669000434130000a2f080111011301ff005e00006a9064486a000101200000000000000000800f0b0b3c0021498000000ca002e001980d0812b807001b4803c802102e9000c809c800000000000000081d163690e31b9e0d6af3043b322e28457372fffff806ffffdd14000011f6fc1ac7e1fe2e0441ff182700fdf7010700110834adbc3dff,10753,0,839983041,829953,2115,1854,94,190,false,false,false
86829cac82a6609882a6a04040e103f00820ea0600f132111fc6032502000200000000000000000100010000000caa06aa05019300000007018c0104020305010000761000000000000000000003bc6100000000000000000900a9e20200001300000843083b07cd074407b500fc4130007f4be800452ed800350cd8002f6090003666b0004a4128000a2f080115011701b9005e00006a9064486a000101200000000000000000800f0b0b3c0021498000000c9002d001980d0812b807001b4803c802102e9000c809c800000000000000081d163692bb919e0e0abe043a2a982844938e00000af5ffffbb76000023ccfc19c794fe300441ff182700fdf701070011082c1bcad391,10758,0,839983046,829958,2115,1860,94,195,false,false,false
86829cac82a6609882a6a04040e103f00820ea0b00f132111fcb032502000200000000000000000100010000000caa0baa0a019300000007018c0104020305010000761000000000000000000003bc6a00000000000000000900a9e70200001300000843083b07ce074a07bd00fd413000686320003c2ee800380cd8002860b8003d663800454130000a2f080117011801ee005e00006a9064486a000101200000000000000000800f0b0b3c0021498000000c9002d001980d0812b807001b4803c802102e9000c809c800000000000000081d1636900c8c9e0c742b043c1c432844254cffffdd34ffffdfcc00000fc5fc22c78cfe4b0453ff1126fffdf101070011083092499cc9,10763,0,839983051,829963,2115,1866,94,200,false,false,false
86829cac82a6609882a6a04040e103f00820ea1000f132111fd0032502000200000000000000000100010000000caa10aa0f019300000007018c0104020305010000761000000000000000000003bc6b00000000000000000900a9ec0200001300000843083b07ce074d07c100ff4138007361b800382ef000380cd8002360c8003a662000554130000a2f080119011a01ee005f00006a9064486a000101200000000000000000800f0b0b3c0021498000000c9002c001980d0812b807001b4803c802102e9000c809c800000000000000081d16369268499e0e36cc0439add028457cabfffffd3700005faf00003719fc19c7b0fe420446ff112700fdf801070011082ca7d5f396,10768,0,839983056,829968,2115,1869,95,205,false,false,false
86829cac82a6609882a6a04040e103f00820ea1500f132111fd5032502000200000000000000000100010000000caa15aa14019300000007018c0104020305010000761000000000000000000003bc7300000000000000000900a9f10200001300000843083b07cd075007c400fe4138007f4bf000442ed800360cd800276068004165b000494130000a2f08011b011b01e3005e00006a9064486a000101200000000000000000800f0b0b3c0021498000000c9002c001980d0812b807001b4803c802102e9000c809c800000000000000081d16369212e99e0dda62043bcd1b2844d6870000634a0000705e0000285dfc21c76ffe480441ff182700fdf801070011082c1cb0a6af,10773,0,839983061,829973,2115,1872,94,210,false,false,false
86829cac82a6609882a6a04040e103f00820ea1a00f132111fda032502000200000000000000000100010000000caa1aaa19019300000007018c0104020305010000761000000000000000000003bc7400000000000000000900a9f60200001300000842083a07cc074d07c101734118007f4bd800392ef000380cd800455e80007660a800f5410800ea2ea0011e011e015c005f00006a9064486a000101200000000000000000800f0b0b3c0021498000000c8002c001980d0812b807001b4803c802102e9000c809c800000000000000081d163691df839e0e2d29043c2cef2845db6dffffca98ffffcf45fffffcfefc1bc790fe3d0452ff1126fffdf101070011082c20dcd8c8,10778,0,839983066,829978,2114,1869,95,215,false,false,false
